StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
AL	Hilltop Church	-88.21892	33.84483	246
AL	Hilltop Park	-88.18334	30.69047	260
AL	Hillview	-86.88416	33.57566	147
AL	Hillview	-87.44500	33.22234	147
AL	Hillview Acres	-86.62277	34.74231	267
AL	Hillview Baptist Church	-86.88333	33.57306	147
AL	Hillview Cemetery	-85.92941	32.95068	73
AL	Hillview Church	-86.90944	33.34817	126
AL	Hillview Elementary School	-86.87027	33.56816	146
AL	Hillview Trailer Park	-88.21327	30.57149	272
AL	Hillwood	-86.25413	32.35486	0
AL	Hillwood	-86.36136	32.92540	64
AL	Hillwood	-86.56305	34.63759	255
AL	Hillwood Baptist Church	-86.56305	34.62898	254
AL	Hillwood Plaza Shopping Center	-88.19229	30.64150	264
AL	Hillwood Plaza Shopping Center (duplicate point)	-88.19232	30.64179	264
AL	Hillwood West	-86.27691	32.35736	2
AL	Hilton Birmingham Perimeter Park	-86.72400	33.43550	127
AL	Hilton Mckee Lake	-87.48761	32.52827	117
AL	Hilton Mckee Lake Dam	-87.48834	32.52847	117
AL	Hilview Church	-86.92112	34.41315	236
AL	Hincle Lake	-85.39759	32.73802	91
AL	Hines	-87.64364	34.95981	316
AL	Hines Cemetery	-86.39887	34.47926	236
AL	Hines Cemetery	-86.44721	34.63787	254
AL	Hines Creek	-87.79501	32.69319	149
AL	Hines Gap	-86.42527	34.62148	252
AL	Hines Lake	-87.09255	31.09674	161
AL	Hines Landing	-87.84474	32.54736	151
AL	Hines Memorial Baptist Church	-87.72253	34.27093	252
AL	Hines Mill (historical)	-87.04362	34.65981	266
AL	Hines Mountain	-86.11720	33.84788	166
AL	Hinkle Dam	-85.39661	32.73846	91
AL	Hinote Cemetery	-87.64276	30.65714	230
AL	Hinson Cemetery	-86.01356	31.80904	65
AL	Hinson Mill (historical)	-85.65604	31.12934	148
AL	Hinsons Store (historical)	-85.51521	31.03129	163
AL	Hinton	-88.44225	32.09209	208
AL	Hinton Cemetery	-86.69054	32.63180	51
AL	Hinton Church	-88.44031	32.09098	208
AL	Hinton School	-87.43139	32.48513	111
AL	Hintons Mill (historical)	-87.57501	33.09734	148
AL	Hiphill Landing	-87.65556	33.03207	151
AL	Hipps Creek	-87.64086	34.64981	285
AL	Hipps Hollow	-87.65586	34.64037	285
AL	Hirsch	-85.12188	32.17182	109
AL	Hissop	-86.15330	32.89235	60
AL	Hissop Post Office	-86.15302	32.89235	60
AL	Hitchcock Branch	-88.19254	34.98759	343
AL	Hitchcock Hollow	-88.18226	34.99703	343
AL	Hitchcock Landing (historical)	-88.19476	34.99231	343
AL	Hitching Beech	-85.59802	33.79538	171
AL	Hix (historical)	-85.97192	34.46203	235
AL	Hixon	-87.42610	31.57294	141
AL	Hixon	-88.22475	32.54569	186
AL	Hixon Church	-88.24197	32.54069	188
AL	Hixon Lookout Tower	-87.43999	31.57322	142
AL	Hixson Hall	-86.80166	33.50205	137
AL	Hoagtown	-87.02777	33.50983	147
AL	Hobbie Farm	-86.24469	32.19403	18
AL	Hobbie Lee Dam	-85.67328	32.04015	65
AL	Hobbie Lee Lake	-85.67352	32.04314	65
AL	Hobbs Bar (historical)	-87.39666	32.14098	110
AL	Hobbs Cemetery	-86.53193	34.61898	252
AL	Hobbs Island	-87.39610	31.95209	116
AL	Hobbs Island	-86.53471	34.53704	243
AL	Hobbs Island	-86.54610	34.55398	245
AL	Hobbs Island Sewage Treatment Plant	-86.55805	34.58926	249
AL	Hobbs Landing (historical)	-87.39805	31.94793	117
AL	Hobbs Prospect	-85.90691	33.32039	112
AL	Hobbs Spring Number One	-86.96917	34.94703	295
AL	Hobbs Spring Number Two	-86.96973	34.94758	295
